2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201096102684', '哈密新瑞祥养殖专业合作社', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65220167022365X', '哈密西部建设有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201795791095', '哈密康盛运输有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '93652201595937184H', '哈密市东天成禽业养殖专业合作社', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201592843561', '哈密市盈科工贸有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652223718966189', '伊吾县顺和粮油贸易有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91650000676305197Q', '新疆银隆农业国际合作股份有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91650103625211588R', '乌鲁木齐市飞行图书有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91650100761121819B', '新疆国美电器有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '9165420268646516XM', '国家电投集团新疆能源化工有限责任公司乌苏热电分公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '9165420271086345X9', '中粮屯河股份有限公司乌苏番茄制品分公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91654200MA7760TDX6', '新疆乌苏农村商业银行股份有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '916500002307900873', '乌苏四棵树煤炭有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91654202712995501P', '新疆乌苏啤酒（乌苏）有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '916502047107592651', '克拉玛依市黑豹工程有限责任公司', '2016')
